iter	Passed	Remaining
421	2196	3009
422	2201	3002
423	2205	2996
424	2211	2991
425	2215	2984
426	2219	2978
427	2223	2971
428	2227	2965
429	2232	2958
430	2236	2952
431	2242	2948
432	2247	2942
433	2251	2935
434	2255	2929
435	2259	2923
436	2263	2916
437	2268	2910
438	2272	2904
439	2277	2898
440	2282	2892
441	2287	2887
442	2291	2880
443	2296	2875
444	2300	2869
445	2306	2864
446	2310	2858
447	2314	2851
448	2319	2845
449	2323	2840
450	2327	2833
451	2331	2827
452	2336	2821
453	2341	2815
454	2345	2809
455	2350	2803
456	2355	2798
457	2359	2792
458	2364	2786
459	2368	2780
460	2373	2775
461	2377	2768
462	2381	2762
463	2386	2757
464	2390	2750
465	2395	2745
466	2400	2740
467	2405	2734
468	2410	2728
469	2414	2722
470	2418	2716
471	2423	2710
472	2428	2705
473	2432	2699
474	2436	2693
475	2441	2688
476	2447	2683
477	2451	2677
478	2456	2672
479	2461	2666
480	2467	2662
481	2472	2657
482	2477	2651
483	2481	2645
484	2486	2639
485	2490	2634
486	2495	2628
487	2499	2622
488	2504	2617
489	2508	2611
490	2513	2605
491	2517	2599
492	2522	2593
493	2526	2587
494	2530	2581
495	2535	2576
496	2539	2570
497	2543	2564
498	2548	2558
499	2553	2553
500	2557	2546
501	2561	2540
502	2565	2535
503	2570	2529
504	2574	2523
505	2578	2516
506	2582	2510
507	2586	2505
508	2590	2499
509	2595	2493
510	2600	2488
511	2604	2482
512	2609	2477
513	2613	2470
514	2618	2465
515	2623	2460
516	2627	2455
517	2633	2450
518	2638	2445
519	2642	2439
520	2646	2433
521	2651	2427
522	2655	2421
523	2660	2416
524	2665	2411
525	2670	2406
526	2674	2400
527	2678	2394
528	2682	2388
529	2687	2383
530	2691	2377
531	2696	2371
532	2700	2366
533	2704	2360
534	2708	2354
535	2712	2347
536	2716	2342
537	2720	2336
538	2724	2330
539	2728	2324
540	2733	2319
541	2739	2314
542	2743	2308
543	2747	2303
544	2751	2297
545	2755	2291
546	2759	2285
547	2763	2279
548	2768	2274
549	2772	2268
550	2776	2262
551	2780	2256
552	2784	2251
553	2788	2245
554	2792	2239
555	2796	2233
556	2801	2227
557	2805	2221
558	2809	2216
559	2813	2210
560	2818	2205
561	2823	2200
562	2827	2194
563	2831	2189
564	2836	2183
565	2840	2178
566	2845	2173
567	2850	2168
568	2854	2162
569	2859	2156
570	2864	2151
571	2868	2146
